테마명,종목명,테마 사유
LCD 부품/소재 ,코이즈,"LCD 보호필름 및 광학코팅 업체. LCD 보호필름 제조 및 LCD의 부품인 백라이트유닛(BLU)의 핵심소재인 광학필름의 코팅과 도광판 및 보호필름 제조를 중심으로 사업 영위. 주요매출처는 LG전자, 미래나노텍, LGD, BOE 등임."
LCD 부품/소재 ,아바텍,LCD패널 식각 및 IPS패널 코팅 전문업체. 디스플레이 패널 Glass를 얇게 만드는 식각공정(LCD패널 Slimming)과 식각공정 후 고기능성 ITO코팅(LCD 패널중 Color 필터 상부에 ITO 도전막을 코팅) 수행.
LCD 부품/소재 ,한솔테크닉스,"LCD TV의 부품인 파워모듈과 백라이트유닛(BLU) 제조업체. 삼성전자의 BLU 공급업체로 BLU사업은 TV BLU를 중심으로, 파워모듈은 LCD TV용 인버터를 중심으로 사업을 전개."
LCD 부품/소재 ,파인디앤씨,"TFT-LCD 부품 생산업체. LCD/LED TV부품인 TOP-CHASSIS, BOTTOM-CHASSIS, LAMP REFLECTOR 등을 주종으로 하여 기타 TFT-LCD 모듈 관련 주요 부품을 생산."
LCD 부품/소재 ,유테크,"모바일 디스플레이 부품 제조 및 판매업체. BLU 중에서 LED의 선광을 면광으로 전환하는 LGP(Light Guide Plate, 도광판)와 BLU 부품을 고정시키며 LED의 빛이 새는 것을 막아주는 M/F(Mold Frame, 몰드프레임)를 생산."
LCD 부품/소재 ,아나패스,"비메모리 반도체의 일종인 시스템 반도체 특히, 주문형 반도체(ASIC)를 주력으로 개발, 공급하는 팹리스 업체. 주력제품으로 LCD TV, LED TV 부품인 타이밍콘트롤러(T-con)를 개발/생산."
LCD 부품/소재 ,세진티에스,"초박막 액정표시장치(TFT-LCD)용 BLU에 들어가는 광기능성 시트(반사시트, 확산시트, 보호시트, 프리즘시트등)를 생산하는 업체."
LCD 부품/소재 ,인지디스플레,인지컨트롤스 계열사로 TFT-LCD패널 모듈에 사용되는 TOP CHASSIS류의 제품과 BLU(백라이트유닛)에 사용되는 BTM CHASSIS류의 제품을 제조/판매하는 업체. 주요 거래처는 삼성전자 등.
LCD 부품/소재 ,삼성SDI,"전자재료 사업부문에서 디스플레이에 사용되는 EMC, 편광필름, CR 등 디스플레이 관련 소재를 생산."
LCD 부품/소재 ,LG화학,"LG그룹 계열의 국내 대표적인 화학기업으로 2000년 국내 최초로 LCD용 편광판의 상업화에 성공한 이래, 편광판 등 LCD용 소재와 전지재료 등을 생산중."
LCD 부품/소재 ,유아이디,"ITO 코팅 유리(터치패널용 ITO 코팅 유리제품,  PLS용 배면코팅 제품) 및 PDP TV용 강화유리를 생산."
LCD 부품/소재 ,케이엔더블유,"디스플레이 및 자동차 부품소재 제조 전문 업체. GLP모듈, 디스플레이용 보호필름(Protect Film), 광학필름 코팅 제품 등을 생산중."
LCD 부품/소재 ,코디,디스플레이 검사장비인 Probe Unit(LCD 패널의 행상도 및 휘도 검사장비) 및 Probe Card(반도체칩 회로 설계 검사장비) 등을 제조.
LCD 부품/소재 ,코오롱인더,"코오롱의 제조사업이 분사되어 신설된 제조회사로 LCD용으로 사용되는 확산필름, 확산판, 프리즘 필름, 도광판 등 백라이트용 광학소재 등의 필름사업을 영위."
LCD 부품/소재 ,디스플레이텍,LCD모듈 전문제조업체. 삼성전자에 보급형 스마트폰용 LCD 모듈(LCM)을 ODM(제조자개발생산) 방식으로 납품.
LCD 부품/소재 ,에스에이엠티,"메모리를 포함한 각종 반도체 및 LCD 패널 등을 판매하고 있는 IT부품 유통업체. 삼성전자, 삼성디스플레이, 삼성전기, 삼성SDI 등의 IT기업들과 안정적인 공급계약을 체결하고, 스마트폰 및 디지탈카메라, TabletPC와 같은 IT 제품에 필요한 Memory, LCD패널, 시스템반도체, Digital Module 제품 등을 판매중."
LCD 부품/소재 ,뉴파워프라즈마,"반도체 및 디스플레이(LCD, OLED, Solar 등) 박막공정 및 식각공정 장비에 사용되는 핵심 부품 공급 업체. 주요 제품으로는 박막공정 진행 후 공정내 잔존하는 부산물에 대한 Plasma Cleaning를 실시하는 핵심 모듈인 Remote Plasma Generator(RPG), 박막 공정이나 건식각 공정장비의 진공 방(Vacuum Chamber)에 가스를 공급하여 Plasma를 발생하는데 필요한 전원을 공급하는 모듈인 RF Generator(RFG) 및 Matcher(MAT) 등이 있음."
LCD 부품/소재 ,토비스,"중소형 TFT-LCD모듈을 생산/판매하고 있으며, LG전자가 주 고객임."
LCD 부품/소재 ,와이엠씨,"평판디스플레이(FPD) 부품 및 소재 제조업체. FPD(LCD, OLED) 제조공정 중 증착공정의 박막형성 및 FPD Panel 제조공정 중 증착공정에서 필요한 배선재의 재료인 타겟과 관련 부품인 Backing Plate, FPD공정장비 부품을 연구/개발/생산하는 사업 영위."
LCD 부품/소재 ,원익머트리얼즈,"2006년 12월 구 원익IPS의 특수가스사업부문이 물적분할한 업체. 반도체 및 디스플레이 생산공정에 사용되는 특수가스 생산을 주요 사업으로 영위. 삼성전자, SK하이닉스 등의 종합반도체회사를 주요 고객사로 두고 있으며, 반도체 이외에도 삼성디스플레이 AMOLED 사업부에 공정용 특수가스를 공급중."
LCD 부품/소재 ,엘엠에스,프리즘시트(LCD BLU의 핵심부품) 생산업체.
LCD 부품/소재 ,티엘아이,LCD 패널의 핵심부품인 Timing Controller와 LCD Driver IC등 시스템반도체 설계 전문 업체. Timing Controller와 LCD Driver IC는 주로 LG디스플레이에 납품.
LCD 부품/소재 ,천보,"디스플레이소재(LCD 식각액첨가제, OLED소재), 반도체 공정소재(SOH공정첨가제), 2차전지소재(전해질, 전해액 첨가제), 의약품 중간체(결핵치료제, 당뇨병치료제 등) 및 정밀화학 사업(질산 칼륨, 질산리튬 등) 등을 영위하는 업체. LCD식각액첨가제 아미노테트라졸(ATZ)은 국내시장점유율 1위, 세계시장점유율 1위(95%)를 차지하고 있으며, 차세대 제품인 메틸테트라졸(MTZ)도 판매."
LCD 부품/소재 ,이라이콤,"LCD용 BLU(휴대폰, 태블릿, 소형가전제품용 등) 생산업체. 삼성전자의 협력업체로 등록되어 있으며, 중소형 BLU업체 중 First Vendor로 휴대폰 및 태블릿PC용 BLU 공급업체중 가장 높은 점유율을 유지중. "
LCD 부품/소재 ,LX세미콘,"평판 디스플레이용 시스템 반도체 부품 제조업체. 주요제품으로 다양한 방식의 디스플레이 구동에 필요한 핵심부품인 패널 구동 IC 와 Data 신호전달 및 제어부품(T-CON), 전원관리IC(PMIC) 등."
LCD 부품/소재 ,솔브레인홀딩스,"반도체 및 디스플레이 공정용 화학재료, 2차전지 소재 등 생산/판매 업체. 삼성전자, SK하이닉스, LG디스플레이 등 국내 반도체 및 디스플레이 제조사에 공정용 화학 재료 등을 공급."
LCD 부품/소재 ,솔브레인,"반도체 및 디스플레이 공정용 화학재료, 2차전지 소재 등 생산/판매 업체. 삼성전자, SK하이닉스, LG디스플레이 등 국내 반도체 및 디스플레이 제조사에 공정용 화학 재료 등을 공급."
